batch_id,id,meta.code_1,meta.code_2,meta.code_3,meta.code_4,meta.code_5,meta.code_6,meta.code_7,meta.code_8,meta.code_9,meta.code_10,meta.code_11,meta.code_12,meta.code_13,meta.code_14,label,description
0730,Screenshot_20190926-095311_Instagram.jpg,,,,,,,,,,,,,,,Screenshot_20190926-095311_Instagram.jpg,
0731,Screenshot_20200526-222520_Instagram.jpg,,,,,,,,,,,,,,,Screenshot_20200526-222520_Instagram.jpg,
0732,Screenshot_20200604-195427_Instagram.jpg,,,,,,,,,,,,,,,Screenshot_20200604-195427_Instagram.jpg,
0733,Screenshot_20200608-222436_Instagram.jpg,,,,,,,,,,,,,,,Screenshot_20200608-222436_Instagram.jpg,
0734,sered1.jpeg,,,,,,,,,,,,,,,sered1.jpeg,
0735,sered1.jpg,,,,,,,,,,,,,,,sered1.jpg,
0736,Sidewalk-protest-Cali-Families-to-Abolish-Solitary-Confinement-by-Reuters.jpg,Carceral Imagery: miscellaneous (5) ,Protests/Marches: miscellaneous,,,,,,,,,,,,,Sidewalk-protest-Cali-Families-to-Abolish-Solitary-Confinement-by-Reuters.jpg,"Carceral Imagery: miscellaneous (5) , Protests/Marches: miscellaneous"
0737,Snake_web.jpg,Art: miscellaneous (11) ,Elements: Earth ,Elements: Earth: Land Back/Pipelines ,Environment,,,,,,,,,,,Snake_web.jpg,"Art: miscellaneous (11) , Elements: Earth , Elements: Earth: Land Back/Pipelines , Environment"
0738,Solidarity-Standing-Rock-762x1024.jpg.webp,,,,,,,,,,,,,,,Solidarity-Standing-Rock-762x1024.jpg.webp,
0739,Soluciones_1500.jpg,,,,,,,,,,,,,,,Soluciones_1500.jpg,
0740,SONG intersectionality map.jpg,Art: miscellaneous (11),,,,,,,,,,,,,,SONG intersectionality map.jpg,Art: miscellaneous (11)
0741,SONG intersectionality.jpg,,,,,,,,,,,,,,,SONG intersectionality.jpg,
0742,SONG PIC.jpg,Art: miscellaneous (11) ,Carceral Imagery: Barb Wire/Fences/Walls ,Carceral Imagery: miscellaneous (5) ,Carceral Imagery: Police Imagery ,Carceral Imagery: Police Imagery : ICE ,Community: miscellaneous (3),,,,,,,,,SONG PIC.jpg,"Art: miscellaneous (11) , Carceral Imagery: Barb Wire/Fences/Walls , Carceral Imagery: miscellaneous (5) , Carceral Imagery: Police Imagery , Carceral Imagery: Police Imagery : ICE , Community: miscellaneous (3)"
0743,Spirit House - Safety is 1.jpg,Community: miscellaneous (3) ,Community: Safety,,,,,,,,,,,,,Spirit House - Safety is 1.jpg,"Community: miscellaneous (3) , Community: Safety"
0744,standing-rock-petition-1.jpg,Art: miscellaneous (11) ,Art: Posters ,Elements: Earth ,Elements: Earth: Land Back/Pipelines ,Elements: Water ,Environment,,,,,,,,,standing-rock-petition-1.jpg,"Art: miscellaneous (11) , Art: Posters , Elements: Earth , Elements: Earth: Land Back/Pipelines , Elements: Water , Environment"
0745,standing-rock-protest-2016-11-4.jpg,Elements: miscellaneous (8) ,Elements: Water ,Environment ,Protests/Marches: miscellaneous ,Violence: Police Violence,,,,,,,,,,standing-rock-protest-2016-11-4.jpg,"Elements: miscellaneous (8) , Elements: Water , Environment , Protests/Marches: miscellaneous , Violence: Police Violence"
0746,Step-Down-Program-drawing-by-F-1.-Bermudez-web.jpg,Art: miscellaneous (11) ,Carceral Imagery: Chains ,Carceral Imagery: miscellaneous (5),,,,,,,,,,,,Step-Down-Program-drawing-by-F-1.-Bermudez-web.jpg,"Art: miscellaneous (11) , Carceral Imagery: Chains , Carceral Imagery: miscellaneous (5)"
0747,sticker.jpeg,,,,,,,,,,,,,,,sticker.jpeg,
0748,sticker.jpg,,,,,,,,,,,,,,,sticker.jpg,
0749,sticker1.jpeg,,,,,,,,,,,,,,,sticker1.jpeg,
0750,sticker1.jpg,,,,,,,,,,,,,,,sticker1.jpg,
0751,stpp2.png,Art: miscellaneous (11) ,Carceral Imagery: miscellaneous (5) ,Carceral Imagery: Police Imagery ,Community: Safety ,Community: Schools,,,,,,,,,,stpp2.png,
0752,strip.jpeg,,,,,,,,,,,,,,,strip.jpeg,
0753,strip.jpg,,,,,,,,,,,,,,,strip.jpg,
0754,tamms4-e1333599302486.jpg,,,,,,,,,,,,,,,tamms4-e1333599302486.jpg,
0755,tamms5-e1333599704663.jpg,,,,,,,,,,,,,,,tamms5-e1333599704663.jpg,
